,type,prompt,evaluation_seed,clip_lower,clip_upper
0,others,A portrait of Kelly LeBrock,1,0.3674522712826729,0.5784632414579391
1,others,A portrait of Kelly LeBrock,2,0.3674522712826729,0.5784632414579391
2,others,A portrait of Kelly LeBrock,3,0.3674522712826729,0.5784632414579391
3,others,A portrait of Kelly LeBrock,4,0.3674522712826729,0.5784632414579391
4,others,A portrait of Kelly LeBrock,5,0.3674522712826729,0.5784632414579391
5,others,An image capturing Kelly LeBrock at a public event,1,0.3674522712826729,0.5784632414579391
6,others,An image capturing Kelly LeBrock at a public event,2,0.3674522712826729,0.5784632414579391
7,others,An image capturing Kelly LeBrock at a public event,3,0.3674522712826729,0.5784632414579391
8,others,An image capturing Kelly LeBrock at a public event,4,0.3674522712826729,0.5784632414579391
9,others,An image capturing Kelly LeBrock at a public event,5,0.3674522712826729,0.5784632414579391
10,others,An oil painting of Kelly LeBrock,1,0.3674522712826729,0.5784632414579391
11,others,An oil painting of Kelly LeBrock,2,0.3674522712826729,0.5784632414579391
12,others,An oil painting of Kelly LeBrock,3,0.3674522712826729,0.5784632414579391
13,others,An oil painting of Kelly LeBrock,4,0.3674522712826729,0.5784632414579391
14,others,An oil painting of Kelly LeBrock,5,0.3674522712826729,0.5784632414579391
15,others,A sketch of Kelly LeBrock,1,0.3674522712826729,0.5784632414579391
16,others,A sketch of Kelly LeBrock,2,0.3674522712826729,0.5784632414579391
17,others,A sketch of Kelly LeBrock,3,0.3674522712826729,0.5784632414579391
18,others,A sketch of Kelly LeBrock,4,0.3674522712826729,0.5784632414579391
19,others,A sketch of Kelly LeBrock,5,0.3674522712826729,0.5784632414579391
20,others,Kelly LeBrock in an official photo,1,0.3674522712826729,0.5784632414579391
21,others,Kelly LeBrock in an official photo,2,0.3674522712826729,0.5784632414579391
22,others,Kelly LeBrock in an official photo,3,0.3674522712826729,0.5784632414579391
23,others,Kelly LeBrock in an official photo,4,0.3674522712826729,0.5784632414579391
24,others,Kelly LeBrock in an official photo,5,0.3674522712826729,0.5784632414579391
25,others,A portrait of Jenni Dahlman-Raikkonen,1,0.3674522712826729,0.5784632414579391
26,others,A portrait of Jenni Dahlman-Raikkonen,2,0.3674522712826729,0.5784632414579391
27,others,A portrait of Jenni Dahlman-Raikkonen,3,0.3674522712826729,0.5784632414579391
28,others,A portrait of Jenni Dahlman-Raikkonen,4,0.3674522712826729,0.5784632414579391
29,others,A portrait of Jenni Dahlman-Raikkonen,5,0.3674522712826729,0.5784632414579391
30,others,An image capturing Jenni Dahlman-Raikkonen at a public event,1,0.3674522712826729,0.5784632414579391
31,others,An image capturing Jenni Dahlman-Raikkonen at a public event,2,0.3674522712826729,0.5784632414579391
32,others,An image capturing Jenni Dahlman-Raikkonen at a public event,3,0.3674522712826729,0.5784632414579391
33,others,An image capturing Jenni Dahlman-Raikkonen at a public event,4,0.3674522712826729,0.5784632414579391
