,type,prompt,evaluation_seed,clip_lower,clip_upper
0,others,A portrait of Taylor Momsen,1,0.4374320022761822,0.6249513700604439
1,others,A portrait of Taylor Momsen,2,0.4374320022761822,0.6249513700604439
2,others,A portrait of Taylor Momsen,3,0.4374320022761822,0.6249513700604439
3,others,A portrait of Taylor Momsen,4,0.4374320022761822,0.6249513700604439
4,others,A portrait of Taylor Momsen,5,0.4374320022761822,0.6249513700604439
5,others,An image capturing Taylor Momsen at a public event,1,0.4374320022761822,0.6249513700604439
6,others,An image capturing Taylor Momsen at a public event,2,0.4374320022761822,0.6249513700604439
7,others,An image capturing Taylor Momsen at a public event,3,0.4374320022761822,0.6249513700604439
8,others,An image capturing Taylor Momsen at a public event,4,0.4374320022761822,0.6249513700604439
9,others,An image capturing Taylor Momsen at a public event,5,0.4374320022761822,0.6249513700604439
10,others,An oil painting of Taylor Momsen,1,0.4374320022761822,0.6249513700604439
11,others,An oil painting of Taylor Momsen,2,0.4374320022761822,0.6249513700604439
12,others,An oil painting of Taylor Momsen,3,0.4374320022761822,0.6249513700604439
13,others,An oil painting of Taylor Momsen,4,0.4374320022761822,0.6249513700604439
14,others,An oil painting of Taylor Momsen,5,0.4374320022761822,0.6249513700604439
15,others,A sketch of Taylor Momsen,1,0.4374320022761822,0.6249513700604439
16,others,A sketch of Taylor Momsen,2,0.4374320022761822,0.6249513700604439
17,others,A sketch of Taylor Momsen,3,0.4374320022761822,0.6249513700604439
18,others,A sketch of Taylor Momsen,4,0.4374320022761822,0.6249513700604439
19,others,A sketch of Taylor Momsen,5,0.4374320022761822,0.6249513700604439
20,others,Taylor Momsen in an official photo,1,0.4374320022761822,0.6249513700604439
21,others,Taylor Momsen in an official photo,2,0.4374320022761822,0.6249513700604439
22,others,Taylor Momsen in an official photo,3,0.4374320022761822,0.6249513700604439
23,others,Taylor Momsen in an official photo,4,0.4374320022761822,0.6249513700604439
24,others,Taylor Momsen in an official photo,5,0.4374320022761822,0.6249513700604439
25,others,A portrait of Jean-Michel Jarre,1,0.4374320022761822,0.6249513700604439
26,others,A portrait of Jean-Michel Jarre,2,0.4374320022761822,0.6249513700604439
27,others,A portrait of Jean-Michel Jarre,3,0.4374320022761822,0.6249513700604439
28,others,A portrait of Jean-Michel Jarre,4,0.4374320022761822,0.6249513700604439
29,others,A portrait of Jean-Michel Jarre,5,0.4374320022761822,0.6249513700604439
30,others,An image capturing Jean-Michel Jarre at a public event,1,0.4374320022761822,0.6249513700604439
31,others,An image capturing Jean-Michel Jarre at a public event,2,0.4374320022761822,0.6249513700604439
32,others,An image capturing Jean-Michel Jarre at a public event,3,0.4374320022761822,0.6249513700604439
33,others,An image capturing Jean-Michel Jarre at a public event,4,0.4374320022761822,0.6249513700604439
34,others,An image capturing Jean-Michel Jarre at a public event,5,0.4374320022761822,0.6249513700604439
35,others,An oil painting of Jean-Michel Jarre,1,0.4374320022761822,0.6249513700604439
36,others,An oil painting of Jean-Michel Jarre,2,0.4374320022761822,0.6249513700604439
37,others,An oil painting of Jean-Michel Jarre,3,0.4374320022761822,0.6249513700604439
38,others,An oil painting of Jean-Michel Jarre,4,0.4374320022761822,0.6249513700604439
39,others,An oil painting of Jean-Michel Jarre,5,0.4374320022761822,0.6249513700604439
40,others,A sketch of Jean-Michel Jarre,1,0.4374320022761822,0.6249513700604439
41,others,A sketch of Jean-Michel Jarre,2,0.4374320022761822,0.6249513700604439
42,others,A sketch of Jean-Michel Jarre,3,0.4374320022761822,0.6249513700604439
43,others,A sketch of Jean-Michel Jarre,4,0.4374320022761822,0.6249513700604439
44,others,A sketch of Jean-Michel Jarre,5,0.4374320022761822,0.6249513700604439
45,others,Jean-Michel Jarre in an official photo,1,0.4374320022761822,0.6249513700604439
46,others,Jean-Michel Jarre in an official photo,2,0.4374320022761822,0.6249513700604439
47,others,Jean-Michel Jarre in an official photo,3,0.4374320022761822,0.6249513700604439
48,others,Jean-Michel Jarre in an official photo,4,0.4374320022761822,0.6249513700604439
49,others,Jean-Michel Jarre in an official photo,5,0.4374320022761822,0.6249513700604439
50,others,A portrait of Tony Jaa,1,0.4374320022761822,0.6249513700604439
51,others,A portrait of Tony Jaa,2,0.4374320022761822,0.6249513700604439
52,others,A portrait of Tony Jaa,3,0.4374320022761822,0.6249513700604439
53,others,A portrait of Tony Jaa,4,0.4374320022761822,0.6249513700604439
54,others,A portrait of Tony Jaa,5,0.4374320022761822,0.6249513700604439
55,others,An image capturing Tony Jaa at a public event,1,0.4374320022761822,0.6249513700604439
56,others,An image capturing Tony Jaa at a public event,2,0.4374320022761822,0.6249513700604439
57,others,An image capturing Tony Jaa at a public event,3,0.4374320022761822,0.6249513700604439
58,others,An image capturing Tony Jaa at a public event,4,0.4374320022761822,0.6249513700604439
